,activity
0,STANDING
1,STANDING
2,STANDING
3,STANDING
4,STANDING
5,STANDING
6,STANDING
7,STANDING
8,STANDING
9,STANDING
10,STANDING
11,STANDING
12,STANDING
13,STANDING
14,STANDING
15,STANDING
16,STANDING
17,STANDING
18,STANDING
19,STANDING
20,STANDING
21,STANDING
22,STANDING
23,STANDING
24,STANDING
25,STANDING
26,STANDING
27,SITTING
28,SITTING
29,SITTING
30,SITTING
31,SITTING
32,SITTING
33,SITTING
34,SITTING
35,SITTING
36,SITTING
37,SITTING
38,SITTING
39,SITTING
40,SITTING
41,SITTING
42,SITTING
43,SITTING
44,SITTING
45,SITTING
46,SITTING
47,SITTING
48,SITTING
49,SITTING
50,SITTING
51,LAYING
52,LAYING
53,LAYING
54,LAYING
55,LAYING
56,LAYING
57,LAYING
58,LAYING
59,LAYING
60,LAYING
61,LAYING
62,LAYING
63,LAYING
64,LAYING
65,LAYING
66,LAYING
67,LAYING
68,LAYING
69,LAYING
70,LAYING
71,LAYING
72,LAYING
73,LAYING
74,LAYING
75,LAYING
76,LAYING
77,LAYING
78,WALKING
79,WALKING
80,WALKING
81,WALKING
82,WALKING
83,WALKING
84,WALKING
85,WALKING
86,WALKING
87,WALKING
88,WALKING
89,WALKING
90,WALKING
91,WALKING
92,WALKING
93,WALKING
94,WALKING
95,WALKING
96,WALKING
97,WALKING
98,WALKING
99,WALKING
100,WALKING
101,WALKING
102,WALKING
103,WALKING
104,WALKING
105,WALKING
106,WALKING
107,WALKING
108,WALKING
109,WALKING
110,WALKING
111,WALKING
112,WALKING
113,WALKING
114,WALKING
115,WALKING
116,WALKING
117,WALKING
118,WALKING
119,WALKING
120,WALKING
121,WALKING
122,WALKING
123,WALKING
124,WALKING
125,WALKING_DOWNSTAIRS
126,WALKING_DOWNSTAIRS
127,WALKING_DOWNSTAIRS
128,WALKING_DOWNSTAIRS
129,WALKING_DOWNSTAIRS
130,WALKING_DOWNSTAIRS
131,WALKING_DOWNSTAIRS
132,WALKING_DOWNSTAIRS
133,WALKING_DOWNSTAIRS
134,WALKING_DOWNSTAIRS
135,WALKING_DOWNSTAIRS
136,WALKING_DOWNSTAIRS
137,WALKING_DOWNSTAIRS
138,WALKING_DOWNSTAIRS
139,WALKING_DOWNSTAIRS
140,WALKING_DOWNSTAIRS
141,WALKING_DOWNSTAIRS
142,WALKING_DOWNSTAIRS
143,WALKING_DOWNSTAIRS
144,WALKING_DOWNSTAIRS
145,WALKING_DOWNSTAIRS
146,WALKING_DOWNSTAIRS
147,WALKING_DOWNSTAIRS
148,WALKING_DOWNSTAIRS
149,WALKING_DOWNSTAIRS
150,WALKING_UPSTAIRS
151,WALKING_UPSTAIRS
152,WALKING_UPSTAIRS
153,WALKING_UPSTAIRS
154,WALKING_UPSTAIRS
155,WALKING_UPSTAIRS
156,WALKING_UPSTAIRS
157,WALKING_UPSTAIRS
158,WALKING_UPSTAIRS
159,WALKING_UPSTAIRS
160,WALKING_UPSTAIRS
161,WALKING_UPSTAIRS
162,WALKING_UPSTAIRS
163,WALKING_UPSTAIRS
164,WALKING_UPSTAIRS
165,WALKING_UPSTAIRS
166,WALKING_UPSTAIRS
167,WALKING_UPSTAIRS
168,WALKING_UPSTAIRS
169,WALKING_UPSTAIRS
170,WALKING_UPSTAIRS
171,WALKING_UPSTAIRS
172,WALKING_UPSTAIRS
173,WALKING_UPSTAIRS
174,WALKING_UPSTAIRS
175,WALKING_UPSTAIRS
176,STANDING
177,STANDING
178,STANDING
179,STANDING
180,STANDING
181,STANDING
182,STANDING
183,STANDING
184,STANDING
185,STANDING
186,STANDING
187,STANDING
188,STANDING
189,STANDING
190,STANDING
191,STANDING
192,STANDING
193,STANDING
194,STANDING
195,STANDING
196,STANDING
197,STANDING
198,STANDING
199,STANDING
200,STANDING
201,STANDING
202,SITTING
203,SITTING
204,SITTING
205,SITTING
206,SITTING
207,SITTING
208,SITTING
209,SITTING
210,SITTING
211,SITTING
212,SITTING
213,LAYING
214,LAYING
215,LAYING
216,LAYING
217,LAYING
218,LAYING
219,LAYING
220,LAYING
221,LAYING
222,LAYING
223,LAYING
224,LAYING
225,SITTING
226,SITTING
227,SITTING
228,SITTING
229,SITTING
230,SITTING
231,SITTING
232,SITTING
233,SITTING
234,SITTING
235,SITTING
236,SITTING
237,LAYING
238,LAYING
239,LAYING
240,LAYING
241,LAYING
242,LAYING
243,LAYING
244,LAYING
245,LAYING
246,LAYING
247,LAYING
248,WALKING
249,WALKING
250,WALKING
251,WALKING
252,WALKING
253,WALKING
254,WALKING
255,WALKING
256,WALKING
257,WALKING
258,WALKING
259,WALKING
260,WALKING
261,WALKING
262,WALKING
263,WALKING
264,WALKING
265,WALKING
266,WALKING
267,WALKING
268,WALKING
269,WALKING
270,WALKING
271,WALKING
272,WALKING
273,WALKING
274,WALKING
275,WALKING
276,WALKING
277,WALKING
278,WALKING
279,WALKING
280,WALKING
281,WALKING
282,WALKING
283,WALKING
284,WALKING
285,WALKING
286,WALKING
287,WALKING
288,WALKING
289,WALKING
290,WALKING
291,WALKING
292,WALKING
293,WALKING
294,WALKING
295,WALKING
296,WALKING_DOWNSTAIRS
297,WALKING_DOWNSTAIRS
298,WALKING_DOWNSTAIRS
299,WALKING_DOWNSTAIRS
300,WALKING_DOWNSTAIRS
301,WALKING_DOWNSTAIRS
302,WALKING_DOWNSTAIRS
303,WALKING_UPSTAIRS
304,WALKING_UPSTAIRS
305,WALKING_UPSTAIRS
306,WALKING_UPSTAIRS
307,WALKING_UPSTAIRS
308,WALKING_UPSTAIRS
309,WALKING_UPSTAIRS
310,WALKING_UPSTAIRS
311,WALKING_UPSTAIRS
312,WALKING_UPSTAIRS
313,WALKING_UPSTAIRS
314,WALKING_UPSTAIRS
315,WALKING_UPSTAIRS
316,WALKING_UPSTAIRS
317,WALKING_UPSTAIRS
318,WALKING_UPSTAIRS
